id,line,station,line_name
142,9,Цветной бульвар,Серпуховско-Тимирязевская линия
143,9,Чеховская,Серпуховско-Тимирязевская линия
144,9,Боровицкая,Серпуховско-Тимирязевская линия
145,9,Полянка,Серпуховско-Тимирязевская линия
146,9,Серпуховская,Серпуховско-Тимирязевская линия
147,9,Тульская,Серпуховско-Тимирязевская линия
148,9,Нагатинская,Серпуховско-Тимирязевская линия
149,9,Нагорная,Серпуховско-Тимирязевская линия
150,9,Нахимовский проспект,Серпуховско-Тимирязевская линия
151,9,Севастопольская,Серпуховско-Тимирязевская линия
152,9,Чертановская,Серпуховско-Тимирязевская линия
153,9,Южная,Серпуховско-Тимирязевская линия
154,9,Пражская,Серпуховско-Тимирязевская линия
155,9,Улица Академика Янгеля,Серпуховско-Тимирязевская линия
156,9,Аннино,Серпуховско-Тимирязевская линия
157,9,Бульвар Дмитрия Донского,Серпуховско-Тимирязевская линия
158,10,Трубная,Люблинско-Дмитровская линия
159,10,Сретенский бульвар,Люблинско-Дмитровская линия
160,10,Чкаловская,Люблинско-Дмитровская линия
161,10,Римская,Люблинско-Дмитровская линия
162,10,Крестьянская Застава,Люблинско-Дмитровская линия
163,10,Дубровка,Люблинско-Дмитровская линия
164,10,Кожуховская,Люблинско-Дмитровская линия
165,10,Печатники,Люблинско-Дмитровская линия
166,10,Волжская,Люблинско-Дмитровская линия
167,10,Люблино,Люблинско-Дмитровская линия
168,10,Братиславская,Люблинско-Дмитровская линия
169,10,Марьино,Люблинско-Дмитровская линия
170,11,Каширская,Каховская линия
171,11,Варшавская,Каховская линия
172,11,Каховская,Каховская линия
173,12,Улица Старокачаловская,Бутовская линия
174,12,Улица Скобелевская,Бутовская линия
175,12,Бульвар Адмирала Ушакова,Бутовская линия
176,12,Улица Горчакова,Бутовская линия
177,12,Бунинская аллея,Бутовская линия
178,3,Мякинино,Арбатско-Покровская линия
179,3,Волоколамская,Арбатско-Покровская линия
180,3,Митино,Арбатско-Покровская линия
181,10,Марьина Роща,Люблинско-Дмитровская линия
182,10,Достоевская,Люблинско-Дмитровская линия
183,10,Борисово,Люблинско-Дмитровская линия
184,10,Шипиловская,Люблинско-Дмитровская линия
185,10,Зябликово,Люблинско-Дмитровская линия
186,8,Новокосино,Калининско-Солнцевская линия
187,2,Алма-Атинская,Замоскворецкая линия
188,3,Пятницкое шоссе,Арбатско-Покровская линия
